Item Number,Item Name,Item Description,Size,Regular Price,UPC,Department Name,Qty 1,On Order Qty
2948,"BODY WAVE FRONTAL WIG 30""",,30,63000,,BUNDLES,0,0
2975,"BODY WAVE FRONTAL WIG 12""",,12,23000,,BUNDLES,1,0
3001,DOMINICAN SHORT BOHEMIAN NAT BL,,"12""",3300,0828179180244,BEAUTY SUPPLIES,1,0
3023,AP OIL MOISTURIZER LOTION,,,960,0802535442122,BEAUTY SUPPLIES,6,0
3041,MAGIC HARD CLUB BRUSH #7722,,,450,0636227177227,BEAUTY SUPPLIES,0,0
3068,HEAD MASSAGER SILVER,,,1000,0616513693082,BEAUTY SUPPLIES,0,0
3091,"HD 5X5 DEEP WAVE CLOSURE 14""",,"14""",15000,,BEAUTY SUPPLIES,0,0
3110,"5X5 BLUNT CUT BOB 12""",,"12""",22500,,BEAUTY SUPPLIES,0,0
3128,FIT ME POWDER #310,,,1950,0041554433845,BEAUTY SUPPLIES,1,0
2778,SPRINGY AFRO TWIST 24'' #1,,24,2250,0827298837794,BEAUTY SUPPLIES,0,0
2826,ELF PUTTY BLUSH (81622),,,1650,0609332816220,BEAUTY SUPPLIES,0,0
2855,EBIN HOLDING GEL SUPREME 40Z,,,1100,0812429039215,BEAUTY SUPPLIES,-12,0
2882,"REMINGTON PEARL 2""",,,0,0074590508642,BEAUTY SUPPLIES,0,0
2909,FASHION TIARA 3,,,1500,0892600113835,BEAUTY SUPPLIES,1,0
2949,"BURMESE CURLY FRONTAL WIG 22""",,22,44000,,BEAUTY SUPPLIES,0,0
2976,"BODY WAVE FRONTAL WIG 14""",,14,25000,,BUNDLES,0,0
3002,SPRINGY BOHEMIAN TWIST #1B,,"16""",1950,0827298942405,BEAUTY SUPPLIES,2,0
3024,ORS SULFRATE FREE SHAMPOO,,,1360,0632169210169,BEAUTY SUPPLIES,4,0
3042,LUSTERS PINK OIL SHEEN 2OZ,,,600,0038276050122,BEAUTY SUPPLIES,3,0
3069,COLORGEL NAIL POLISH,,,450,,BEAUTY SUPPLIES,-12,0
3092,"HD 5X5 DEEP WAVE CLOSURE 16""",,,16000,,BEAUTY SUPPLIES,0,0
3111,"4X4 BLUNT CUT BOB 14""",,"14""",23000,,BEAUTY SUPPLIES,2,0
3129,MAYBELLINE FIT ME #355,,,1950,0041554433524,BEAUTY SUPPLIES,-2,0
2779,ULTIMATE AFRO KINKY BULK 1B,,12,3750,0886415036991,BUNDLES,1,0
2827,SPRINGY AFRO TWIST #51,,,1950,0827298831891,BEAUTY SUPPLIES,3,0
2856,ANNIE ASSORTED BUBBER BANDS 300,,,150,0705372031521,BEAUTY SUPPLIES,2,0
2883,EBIN TINT LACE 10X DB,,,1950,0812429039697,BEAUTY SUPPLIES,2,0
2910,FASHION TIARA 4,,,1500,0892600136001,BEAUTY SUPPLIES,1,0
2950,"BURMESE CURLY FRONTAL WIG 24""",,24,49000,,BUNDLES,0,0
